Sex,Year,Source,Target,Mortality Type,Value,Cause
Female,2007,Total,Cognitive Disorders,Alzheimer's disease,75440.8869,
Female,2009,Total,Other,Diseases of the blood and blood-forming organs,16857.40864,
Female,2008,Total,Cognitive Disorders,Alzheimer's disease,80496.19876,
Female,2010,Total,Other,Diseases of the blood and blood-forming organs,17368.36394,
Female,2009,Total,Cognitive Disorders,Alzheimer's disease,83489.21453,
Female,2011,Total,Other,Diseases of the blood and blood-forming organs,17045.43035,
Female,2010,Total,Cognitive Disorders,Alzheimer's disease,88584.83232,
Female,2012,Total,Other,Diseases of the blood and blood-forming organs,17146.84551,
Female,2011,Total,Cognitive Disorders,Alzheimer's disease,91244.71304,
Female,2013,Total,Other,Diseases of the blood and blood-forming organs,16812.58607,
Female,2012,Total,Cognitive Disorders,Alzheimer's disease,97497.50494,
Female,2014,Total,Other,Diseases of the blood and blood-forming organs,16904.94488,
Female,2013,Total,Cognitive Disorders,Alzheimer's disease,100192.1883,
Female,2015,Total,Other,Diseases of the blood and blood-forming organs,16683.73879,
Female,2014,Total,Cognitive Disorders,Alzheimer's disease,108023.1079,
Female,2016,Total,Other,Diseases of the blood and blood-forming organs,16504.80763,
Female,2015,Total,Cognitive Disorders,Alzheimer's disease,118077.1069,
Female,2017,Total,Other,Diseases of the blood and blood-forming organs,16148.02069,
Female,2016,Total,Cognitive Disorders,Alzheimer's disease,124038.3569,
Female,2018,Total,Other,Diseases of the blood and blood-forming organs,13979.98427,
Female,2017,Total,Cognitive Disorders,Alzheimer's disease,121920.41,
Female,2019,Total,Other,Diseases of the blood and blood-forming organs,14507.20476,
Female,2018,Total,Cognitive Disorders,Alzheimer's disease,107651.5782,
Female,2018,Total,Other,Diseases of the genitourinary system,90418.40046,
Female,2020,Total,Other,Diseases of the blood and blood-forming organs,14007.2048,
Female,2020,Total,Other,Codes for special purposes: COVID-19,320502.1191,
Female,2019,Total,Cognitive Disorders,Alzheimer's disease,117395.5682,
Female,2019,Total,Other,Diseases of the genitourinary system,100566.1342,
Female,2020,Total,Cognitive Disorders,Alzheimer's disease,110701.3464,
Female,2020,Total,Other,Diseases of the genitourinary system,87187.10809,
Total,2000,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1440783.532,
Total,2000,Total,Other,Diseases of the genitourinary system,174599.4393,
Total,2001,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1503859.237,
Total,2001,Total,Other,Diseases of the genitourinary system,186493.8295,
Total,2002,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1481383.762,
Total,2002,Total,Other,Diseases of the genitourinary system,188568.4597,
Total,2003,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1467880.476,
Total,2003,Total,Other,Diseases of the genitourinary system,194573.6912,
Total,2004,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1381149.824,
Total,2004,Total,Other,Diseases of the genitourinary system,191307.6624,
Total,2005,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1332974.576,
Total,2005,Total,Other,Diseases of the genitourinary system,195883.3464,
Total,2006,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1297745.176,
Total,2006,Total,Other,Diseases of the genitourinary system,202070.7631,
Total,2007,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1263446.992,
Total,2007,Total,Other,Diseases of the genitourinary system,207205.7037,
Total,2008,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1233391.496,
Total,2008,Total,Other,Diseases of the genitourinary system,208146.9545,
Total,2009,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1259372.816,
Total,2009,Total,Other,Diseases of the genitourinary system,221627.9074,
Total,2010,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1241566.95,
Total,2010,Total,Other,Diseases of the genitourinary system,228253.414,
Total,2011,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1178922.198,
Total,2011,Total,Other,Diseases of the genitourinary system,219282.2932,
Total,2012,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1178019.195,
Total,2012,Total,Other,Diseases of the genitourinary system,224098.8839,
Total,2013,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1186114.18,
Total,2013,Total,Other,Diseases of the genitourinary system,223918.7577,
Total,2014,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1171160.384,
Total,2014,Total,Other,Diseases of the genitourinary system,227158.1174,
Total,2015,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1156873.524,
Total,2015,Total,Other,Diseases of the genitourinary system,237858.906,
Total,2016,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1145514.512,
Total,2016,Total,Other,Diseases of the genitourinary system,236355.8995,
Total,2017,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1033169.297,
Total,2017,Total,Other,Diseases of the genitourinary system,211920.3136,
Total,2018,Total,Diseases of the Circulatory System,Ischaemic heart diseases,966241.5156,
Total,2018,Total,Other,Diseases of the genitourinary system,202888.4033,
Total,2019,Total,Diseases of the Circulatory System,Ischaemic heart diseases,1022073.256,
Total,2019,Total,Other,Diseases of the genitourinary system,225635.8473,
Total,2020,Total,Diseases of the Circulatory System,Ischaemic heart diseases,993395.7266,
Total,2020,Total,Other,Diseases of the genitourinary system,198533.8115,
Total,2021,Total,Diseases of the Circulatory System,Ischaemic heart diseases,74221.57599,
Total,2021,Total,Other,Diseases of the genitourinary system,16772.62541,
Total,2000,Total,Other,Diabetes mellitus,300194.9898,
Total,2000,Total,Respiratory System,Tuberculosis,25035.53501,
Total,2001,Total,Other,Diabetes mellitus,312520.2874,
Total,2001,Total,Respiratory System,Tuberculosis,24327.33877,
Total,2002,Total,Other,Diabetes mellitus,325737.4876,
Total,2002,Total,Respiratory System,Tuberculosis,23634.48668,
Total,2003,Total,Other,Diabetes mellitus,339329.9132,
Total,2003,Total,Respiratory System,Tuberculosis,22778.66858,
Total,2004,Total,Other,Diabetes mellitus,331781.1063,
Total,2004,Total,Respiratory System,Tuberculosis,19917.98604,
Total,2005,Total,Other,Diabetes mellitus,337979.0864,
Total,2005,Total,Respiratory System,Tuberculosis,19367.63798,
Total,2006,Total,Other,Diabetes mellitus,332412.7288,
Total,2006,Total,Respiratory System,Tuberculosis,18046.13279,
Total,2007,Total,Other,Diabetes mellitus,332436.2443,
Total,2007,Total,Respiratory System,Tuberculosis,16809.32307,
Total,2008,Total,Other,Diabetes mellitus,336810.591,
Total,2008,Total,Respiratory System,Tuberculosis,16231.40967,
Total,2009,Total,Other,Diabetes mellitus,354653.611,
Total,2009,Total,Respiratory System,Tuberculosis,16328.93646,
Total,2010,Total,Other,Diabetes mellitus,361468.7505,
Total,2010,Total,Respiratory System,Tuberculosis,16033.29843,
Total,2011,Total,Other,Diabetes mellitus,357221.5445,
Total,2011,Total,Respiratory System,Tuberculosis,15482.90892,
Total,2012,Total,Other,Diabetes mellitus,361978.1018,
Total,2012,Total,Respiratory System,Tuberculosis,14675.97231,
Total,2013,Total,Other,Diabetes mellitus,360896.164,
Total,2013,Total,Respiratory System,Tuberculosis,13741.88359,
Total,2014,Total,Other,Diabetes mellitus,362163.2486,
Total,2014,Total,Respiratory System,Tuberculosis,12997.00781,
Total,2015,Total,Other,Diabetes mellitus,373056.4204,
Total,2015,Total,Respiratory System,Tuberculosis,12466.74628,
Total,2016,Total,Other,Diabetes mellitus,374456.0258,
Total,2016,Total,Respiratory System,Tuberculosis,11905.62448,
Female,2019,Total,Other,Certain infectious and parasitic diseases,70749.79907,
Male,2000,Total,Diseases of the Circulatory System,Cerebrovascular diseases,485125.2832,
Male,2001,Total,Diseases of the Circulatory System,Cerebrovascular diseases,499814.8889,
Male,2002,Total,Diseases of the Circulatory System,Cerebrovascular diseases,490491.5202,
Male,2003,Total,Diseases of the Circulatory System,Cerebrovascular diseases,481405.8466,
Male,2004,Total,Diseases of the Circulatory System,Cerebrovascular diseases,437917.1071,
Male,2005,Total,Diseases of the Circulatory System,Cerebrovascular diseases,410988.9866,
Male,2006,Total,Diseases of the Circulatory System,Cerebrovascular diseases,399961.1151,
Male,2007,Total,Diseases of the Circulatory System,Cerebrovascular diseases,392520.9566,
Male,2008,Total,Diseases of the Circulatory System,Cerebrovascular diseases,382509.4244,
Male,2009,Total,Diseases of the Circulatory System,Cerebrovascular diseases,396278.4192,
Male,2010,Total,Diseases of the Circulatory System,Cerebrovascular diseases,388195.8512,
Male,2011,Total,Diseases of the Circulatory System,Cerebrovascular diseases,367792.4724,
Male,2012,Total,Diseases of the Circulatory System,Cerebrovascular diseases,361676.4028,
Male,2013,Total,Diseases of the Circulatory System,Cerebrovascular diseases,354349.9182,
Total,2000,Total,Other,Diseases of the musculoskeletal system and connective tissue,47039.30162,
Male,2014,Total,Diseases of the Circulatory System,Cerebrovascular diseases,343559.1064,
Total,2001,Total,Other,Diseases of the musculoskeletal system and connective tissue,51733.76497,
Male,2015,Total,Diseases of the Circulatory System,Cerebrovascular diseases,341419.0513,
Total,2002,Total,Other,Diseases of the musculoskeletal system and connective tissue,53429.4872,
Male,2016,Total,Diseases of the Circulatory System,Cerebrovascular diseases,330459.037,
Total,2003,Total,Other,Diseases of the musculoskeletal system and connective tissue,53319.94173,
Male,2017,Total,Diseases of the Circulatory System,Cerebrovascular diseases,288563.0358,
Total,2004,Total,Other,Diseases of the musculoskeletal system and connective tissue,50008.94847,
Male,2018,Total,Diseases of the Circulatory System,Cerebrovascular diseases,259324.1981,
Total,2005,Total,Other,Diseases of the musculoskeletal system and connective tissue,49813.65841,
Total,2006,Total,Other,Diseases of the musculoskeletal system and connective tissue,50428.90546,
Total,2007,Total,Other,Diseases of the musculoskeletal system and connective tissue,52555.52786,
Total,2008,Total,Other,Diseases of the musculoskeletal system and connective tissue,52755.90371,
Total,2009,Total,Other,Diseases of the musculoskeletal system and connective tissue,54029.71386,
Total,2010,Total,Other,Diseases of the musculoskeletal system and connective tissue,54903.21897,
Total,2011,Total,Other,Diseases of the musculoskeletal system and connective tissue,53818.88342,
Total,2012,Total,Other,Diseases of the musculoskeletal system and connective tissue,53971.51133,
Total,2013,Total,Other,Diseases of the musculoskeletal system and connective tissue,52878.1066,
Total,2014,Total,Other,Diseases of the musculoskeletal system and connective tissue,51442.90644,
Total,2015,Total,Other,Diseases of the musculoskeletal system and connective tissue,51300.47359,
Total,2016,Total,Other,Diseases of the musculoskeletal system and connective tissue,51119.71688,
Total,2017,Total,Other,Diseases of the musculoskeletal system and connective tissue,50284.66979,
Total,2018,Total,Other,Diseases of the musculoskeletal system and connective tissue,45886.63475,
Total,2019,Total,Other,Diseases of the musculoskeletal system and connective tissue,46006.49925,
Total,2000,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",439952.5546,"Malignant neoplasms of trachea, bronchus, lung"
Total,2001,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",467900.8748,"Malignant neoplasms of trachea, bronchus, lung"
Total,2002,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",470417.4976,"Malignant neoplasms of trachea, bronchus, lung"
Total,2003,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",468176.1226,"Malignant neoplasms of trachea, bronchus, lung"
Total,2004,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",467541.8924,"Malignant neoplasms of trachea, bronchus, lung"
Total,2005,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",461740.8419,"Malignant neoplasms of trachea, bronchus, lung"
Total,2006,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",468896.8566,"Malignant neoplasms of trachea, bronchus, lung"
Total,2007,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",470597.1313,"Malignant neoplasms of trachea, bronchus, lung"
Total,2008,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",469551.6818,"Malignant neoplasms of trachea, bronchus, lung"
Total,2009,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",489062.8715,"Malignant neoplasms of trachea, bronchus, lung"
Total,2010,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",489748.0538,"Malignant neoplasms of trachea, bronchus, lung"
Total,2000,Total,Cancers,Malignant melanoma of skin,19731.47234,Malignant melanoma of skin
Total,2011,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",483079.3356,"Malignant neoplasms of trachea, bronchus, lung"
Total,2001,Total,Cancers,Malignant melanoma of skin,21495.19594,Malignant melanoma of skin
Total,2012,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",482174.7837,"Malignant neoplasms of trachea, bronchus, lung"
Total,2002,Total,Cancers,Malignant melanoma of skin,21384.75731,Malignant melanoma of skin
Total,2013,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",480229.2933,"Malignant neoplasms of trachea, bronchus, lung"
Total,2003,Total,Cancers,Malignant melanoma of skin,22199.37669,Malignant melanoma of skin
Total,2014,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",477292.4954,"Malignant neoplasms of trachea, bronchus, lung"
Total,2004,Total,Cancers,Malignant melanoma of skin,22500.83719,Malignant melanoma of skin
Total,2015,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",464929.573,"Malignant neoplasms of trachea, bronchus, lung"
Total,2005,Total,Cancers,Malignant melanoma of skin,21809.11487,Malignant melanoma of skin
Total,2016,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",459614.6721,"Malignant neoplasms of trachea, bronchus, lung"
Total,2006,Total,Cancers,Malignant melanoma of skin,23355.99498,Malignant melanoma of skin
Total,2017,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",413977.2374,"Malignant neoplasms of trachea, bronchus, lung"
Total,2007,Total,Cancers,Malignant melanoma of skin,23975.82564,Malignant melanoma of skin
Total,2018,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",361164.2908,"Malignant neoplasms of trachea, bronchus, lung"
Total,2008,Total,Cancers,Malignant melanoma of skin,24533.80594,Malignant melanoma of skin
Total,2019,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",373076.9653,"Malignant neoplasms of trachea, bronchus, lung"
Total,2009,Total,Cancers,Malignant melanoma of skin,25835.51138,Malignant melanoma of skin
Total,2020,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",309410.2842,"Malignant neoplasms of trachea, bronchus, lung"
Total,2010,Total,Cancers,Malignant melanoma of skin,26291.21591,Malignant melanoma of skin
Total,2011,Total,Cancers,Malignant melanoma of skin,26101.99555,Malignant melanoma of skin
Total,2012,Total,Cancers,Malignant melanoma of skin,26345.35359,Malignant melanoma of skin
Total,2013,Total,Cancers,Malignant melanoma of skin,27020.0895,Malignant melanoma of skin
Total,2014,Total,Cancers,Malignant melanoma of skin,27091.42532,Malignant melanoma of skin
Total,2015,Total,Cancers,Malignant melanoma of skin,26089.10652,Malignant melanoma of skin
Total,2016,Total,Cancers,Malignant melanoma of skin,24698.72746,Malignant melanoma of skin
Total,2017,Total,Cancers,Malignant melanoma of skin,23217.55202,Malignant melanoma of skin
Total,2017,Total,Respiratory System,Tuberculosis,10647.66277,
Total,2018,Total,Cancers,Malignant melanoma of skin,20870.36178,Malignant melanoma of skin
Total,2018,Total,Respiratory System,Tuberculosis,9810.21014,
Total,2019,Total,Cancers,Malignant melanoma of skin,20311.93085,Malignant melanoma of skin
Total,2019,Total,Respiratory System,Tuberculosis,9839.612906,
Total,2020,Total,Cancers,Malignant melanoma of skin,18250.26537,Malignant melanoma of skin
Total,2020,Total,Respiratory System,Tuberculosis,7964.944171,
Total,2000,Total,Respiratory System,Diseases of the respiratory system,817849.4302,
Total,2001,Total,Respiratory System,Diseases of the respiratory system,844140.1791,
Total,2002,Total,Respiratory System,Diseases of the respiratory system,859881.0322,
Total,2003,Total,Respiratory System,Diseases of the respiratory system,890569.2905,
